codigo_escola,codigo_municipio,sre,municipio,escola,localizacao,dependencia
17057183,1702109,ARAGUAINA,Araguaína,ESCOLA DE TEMPO INTEGRAL SENHOR DOMINGOS DA CRUZ MACHADO,Urbana,Estadual
17057191,1702208,ARAGUATINS,Araguatins,ESCOLA MUNICIPAL CANTINHO DO SABER,Urbana,Municipal
17057205,1709500,GURUPI,Gurupi,ESCOLA MUNICIPAL INSTITUTO EDUCACIONAL OS PEQUENINOS DE JESUS,Urbana,Municipal
17057213,1718204,PORTO NACIONAL,Porto Nacional,ESCOLA MUNICIPAL DE TEMPO INTEGRAL FRANCISCO PINHEIRO DE LEMOS,Urbana,Municipal
17057221,1702208,ARAGUATINS,Araguatins,ESCOLA DE TEMPO INTEGRAL PROFESSORA ONEIDE DA CRUZ MOUSINHO,Urbana,Estadual
17057230,1721000,PALMAS,Palmas,ESCOLA VAGALUME,Urbana,Privada
17057248,1721000,PALMAS,Palmas,BERCARIO RECRIAR LTDA,Urbana,Privada
17057256,1721000,PALMAS,Palmas,ESPACO INFANTIL CASA DE VO,Urbana,Privada
17057264,1721000,PALMAS,Palmas,CENTRO EDUCACIONAL LAPIS DE COR,Urbana,Privada
17057272,1721000,PALMAS,Palmas,NENA KIDS,Urbana,Privada
17057280,1709302,GUARAI,Guaraí,COLEGIO GUARAI,Urbana,Privada
17057299,1713205,MIRACEMA DO TOCANTINS,Miracema do Tocantins,CENTRO MUNICIPAL DE EDUCACAO INFANTIL VOVO LUIZA BUCAR,Urbana,Municipal
17057310,1716109,PARAISO,Paraíso do Tocantins,CENTRO MUNICIPAL DE EDUCACAO INFANTIL PROFESSORA CONCEICAO VILANI CAMPOS DUTRA BRAGA,Urbana,Municipal
17057329,1709302,GUARAI,Guaraí,CENTRO MUNICIPAL DE EDUCACAO INFANTIL PROFESSORA AUREA GONCALVES MOREIRA MACEDO,Urbana,Municipal
17057337,1718303,ARAGUATINS,Praia Norte,ESCOLA MUNICIPAL DE ENSINO FUNDAMENTAL JEAN PIAGET,Rural,Municipal
17057345,1718881,PEDRO AFONSO,Santa Maria do Tocantins,CMEI MUNICIPAL PEQUENO CIDADAO,Urbana,Municipal
17057353,1718840,GURUPI,Sandolândia,CENTRO MUNICIPAL DE EDUCACAO INFANTIL PROFESSORA ODETE CARDOSO NOGUEIRA,Urbana,Municipal
17057361,1706001,GUARAI,Couto Magalhães,ESCOLA MUNICIPAL PORTAL DO CONHECIMENTO,Urbana,Municipal
17057370,1718865,ARAGUAINA,Santa Fé do Araguaia,CMEI PROFESSORA MARIA DE JESUS ALVES,Urbana,Municipal
17057388,1702109,ARAGUAINA,Araguaína,CERRATO TECNICO,Urbana,Privada
17057396,1718865,ARAGUAINA,Santa Fé do Araguaia,ESCOLA MUNICIPAL DE EDUCACAO INFANTIL INDIGENA ULADU BUTUNA,Rural,Municipal
17057400,1714203,PORTO NACIONAL,Natividade,CENTRO EDUCACIONAL ESPACO DO SABER,Urbana,Privada
17057418,1703800,ARAGUATINS,Buriti do Tocantins,CRECHE MUNICIPAL PROFESSORA MARIA BENTA,Urbana,Municipal
17057426,1720101,ARAGUATINS,São Bento do Tocantins,ESCOLA MUNICIPAL PROFESSOR JOAO PAULO CARNEIRO RODRIGUES,Urbana,Municipal
17057434,1720200,ARAGUATINS,São Miguel do Tocantins,CENTRO MUNICIPAL DE EDUCACAO INFANTIL SEMENTES DO FUTURO CMEISF,Urbana,Municipal
17057442,1716208,ARRAIAS,Paranã,CMEI PROFESSORA CLEUSA SOUZA BENEVIDES BEZERRA,Urbana,Municipal
17057450,1721000,PALMAS,Palmas,CENTRO MUNICIPAL DE EDUCACAO INFANTIL ARARAS,Urbana,Municipal
17057469,1702109,ARAGUAINA,Araguaína,EDUCAPI CENTRO EDUCACIONAL,Urbana,Privada
17057477,1718204,PORTO NACIONAL,Porto Nacional,ESCOLA MUNICIPAL PROFESSORA MAGNOLIA SILVA DOS SANTOS,Urbana,Municipal
17057485,1721000,PALMAS,Palmas,ESCOLA ESTADUAL MARIA RIBEIRO DE OLIVEIRA - MARIA BATISTA,Urbana,Estadual
17057493,1709500,GURUPI,Gurupi,ESCOLA MUNICIPAL INSTITUTO PRESBITERIANO EDUCACIONAL,Urbana,Municipal
17057507,1720804,ARAGUATINS,Sítio Novo do Tocantins,CENTRO MUNICIPAL DE EDUCACAO INFANTIL MARIA GONCALVES DOS SANTOS,Rural,Municipal
17057515,1702109,ARAGUAINA,Araguaína,ESCOLA MUNICIPAL ALLAN KARDEC,Urbana,Municipal
17057523,1702109,ARAGUAINA,Araguaína,CENTRO DE EDUCACAO INFANTIL GARDENE MOTA,Urbana,Municipal
17057531,1721000,PALMAS,Palmas,ESCOLA ADVENTISTA PALMAS SUL,Urbana,Privada
17057540,1716505,PEDRO AFONSO,Pedro Afonso,COLEGIO COMERCIAL IMPACTO,Urbana,Privada
17057558,1720499,GURUPI,São Valério,ESCOLA MUNICIPAL JOAO PEREIRA SOBRINHO,Urbana,Municipal
17057566,1703842,ARAGUAINA,Campos Lindos,INSTITUTO EDUCACIONAL PEREIRA MARTINS,Urbana,Privada
17057574,1721000,PALMAS,Palmas,COLEGIO COC INTEGRAL,Urbana,Privada
17057582,1702109,ARAGUAINA,Araguaína,ESCOLA MUNICIPAL ANATOLIO DIAS CARNEIRO,Rural,Municipal
17057590,1702109,ARAGUAINA,Araguaína,CENTRO DE EDUCACAO INFANTIL PEQUENO PRINCIPE,Urbana,Municipal
17057604,1702109,ARAGUAINA,Araguaína,ESCOLA IMPERIUM,Urbana,Privada
17057612,1702109,ARAGUAINA,Araguaína,IMPERIUM BABY,Urbana,Privada
17057620,1702109,ARAGUAINA,Araguaína,IMPERIUM EDUCACIONAL,Urbana,Privada
17057639,1703826,TOCANTINOPOLIS,Cachoeirinha,ESCOLA MUNICIPAL INDIGENA NHINO,Rural,Municipal
17057647,1721000,PALMAS,Palmas,ASSOCIACAO BENEFICENTE DE ASSISTENCIA A VIDA,Urbana,Privada
17057655,1702109,ARAGUAINA,Araguaína,COLEGIO QUERUBINS,Urbana,Privada
17057663,1721000,PALMAS,Palmas,GTP CURSOS TECNICOS E PROFISSIONALIZANTES LTDA,Urbana,Privada
17057671,1721000,PALMAS,Palmas,COLEGIO SAO FILIPE NERI,Urbana,Privada
17057698,1721000,PALMAS,Palmas,SPHERE PALMAS,Urbana,Privada
17064007,1721000,PALMAS,Palmas,ESCOLA ESTADUAL NOVA GERACAO,Rural,Estadual
17064600,1702208,ARAGUATINS,Araguatins,APAE ASSOC DE PAIS E AMIGOS DOS EXCEPCIONAIS,Urbana,Privada
17065003,1718865,ARAGUAINA,Santa Fé do Araguaia,EDUCANDARIO GENTE INOCENTE,Urbana,Privada
17065402,1700251,PARAISO,Abreulândia,CENTRO EDUCACIONAL PEQUENO PRINCIPE,Urbana,Municipal
17065801,1710508,PEDRO AFONSO,Itacajá,ESCOLA ESTADUAL INDIGENA MANGABEIRA,Rural,Estadual
17066409,1721000,PALMAS,Palmas,CENTRO EDUCACIONAL AQUARELA,Urbana,Privada
17066808,1711902,PARAISO,Lagoa da Confusão,ESCOLA ESTADUAL INDIGENA WYAPRI,Rural,Estadual
17067405,1707207,MIRACEMA DO TOCANTINS,Dois Irmãos do Tocantins,ESCOLA ESPECIAL CLOVIS DE ASSIS,Urbana,Privada
17067600,1708205,GURUPI,Formoso do Araguaia,APAE - ESCOLA ESPECIAL ANJO DA GUARDA,Urbana,Privada
17067804,1721000,PALMAS,Palmas,ESCOLA MUNICIPAL DE TEMPO INTEGRAL PADRE JOSIMO TAVARES,Urbana,Municipal
17067812,1721000,PALMAS,Palmas,CENTRO MUNICIPAL DE EDUCACAO INFANTIL IRMA MARIA CUSTODIA DE JESUS,Urbana,Municipal
17068207,1721000,PALMAS,Palmas,CENTRO EDUCACIONAL INFANTIL ALEGRIA E CIA,Urbana,Privada
17068401,1714302,TOCANTINOPOLIS,Nazaré,ESCOLA MUNICIPAL DOMINGOS DE CASTRO RIBEIRO,Rural,Municipal
17068410,1700301,TOCANTINOPOLIS,Aguiarnópolis,ESCOLA MUNICIPAL DEGRAUS DO SABER,Urbana,Municipal
17068606,1715259,DIANOPOLIS,Novo Jardim,ESCOLA MUNICIPAL PROFESSORA ANORELINA,Urbana,Municipal
17068800,1721000,PALMAS,Palmas,COLEGIO MILITAR DO ESTADO DO TOCANTINS - UNIDADE I,Urbana,Estadual
17068819,1716653,GUARAI,Pequizeiro,ESCOLA MUNICIPAL PAULO FREIRE,Rural,Municipal
17069009,1703008,ARAGUAINA,Babaçulândia,ESCOLA MUNICIPAL POETA JOSE GOMES SOBRINHO,Urbana,Municipal
17069203,1716653,GUARAI,Pequizeiro,ESCOLA MUNICIPAL AYRTON SENNA,Urbana,Municipal
17069408,1721000,PALMAS,Palmas,ESCOLA MUNICIPAL DE TEMPO INTEGRAL EURIDICE FERREIRA DE MELLO,Urbana,Municipal
17069602,1710508,PEDRO AFONSO,Itacajá,ESCOLA ESTADUAL INDIGENA MACAUBA,Rural,Estadual
17069831,1709500,GURUPI,Gurupi,SESCLER - SERVICO SOCIAL DO COMERCIO,Urbana,Privada
17069840,1708205,GURUPI,Formoso do Araguaia,COOPERATIVA DE TRABALHO EDUCACIONAL DE FORMOSO DO ARAGUAIA - COLEGIO COOPEFA,Urbana,Privada
17069858,1709302,GUARAI,Guaraí,CENTRO MUNICIPAL DE EDUCACAO INFANTIL AQUARELA,Urbana,Municipal
17070007,1721000,PALMAS,Palmas,CENTRO MUNICIPAL DE EDUCACAO INFANTIL AMANCIO JOSE DE MORAES,Urbana,Municipal
17072000,1718204,PORTO NACIONAL,Porto Nacional,CENTRO DE EDUCACAO MUNICIPAL DO CAMPO CHICO MENDES,Rural,Municipal
17072026,1702109,ARAGUAINA,Araguaína,SESI - ESCOLA DE REFERENCIA DE ARAGUAINA - TOCANTINS,Urbana,Privada
17073804,1716208,ARRAIAS,Paranã,ESCOLA MUNICIPAL SANTA CRUZ,Rural,Municipal
17074800,1702109,ARAGUAINA,Araguaína,NUCLEO DE EDUCACAO INFANTIL HORAS ALEGRES,Urbana,Privada
17074819,1707009,DIANOPOLIS,Dianópolis,ESCOLA ESPECIAL COLIBRI,Urbana,Privada
17079802,1718303,ARAGUATINS,Praia Norte,ESCOLA MUNICIPAL MELQUIADES CARDOSO,Urbana,Municipal
